Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,ADP,teamid,League,Player,xMLBAMID,playerids,playerid
LAA,Angels,5,7,23,24,,,,122.0,534,124,64,59,17,125,48,,3,4.38429,1.41235,9.24905,3.5269,2.62244,1.28338,0.234245,0.0893234,0.14492136240005493,,0.257213,0.313846,0.727993,4.19283,468.3000000000002,3.838524590163936,486.0,3.9836065573770494,1.64056,1.17164,506.57000732421875,1,AL,Yusei Kikuchi,579328,20633,20633
PIT,Pirates,7,5,12,32,,,,91.0,385,85,37,34,7,81,31,,3,3.40093,1.2755,8.06765,3.03029,2.66234,0.721497,0.211189,0.0793246,0.13186433911323547,,0.242586,0.296756,0.743389,3.50827,426.29999999999995,4.684615384615384,424.0,4.65934065934066,1.64018,1.90135,745.6199951171875,27,NL,Carmen Mlodzinski,669387,27572,27572
ATL,Braves,8,8,23,23,,,,128.0,548,126,66,61,14,109,42,,5,4.25571,1.30231,7.66733,2.91692,2.62857,0.990827,0.19951,0.0759005,0.12360929697751999,,0.250578,0.295099,0.686595,3.96134,524.4,4.096875,535.0,4.1796875,1.6247,1.47547,740.5499877929688,16,NL,Bryce Elder,693821,27779,27779
ARI,Diamondbacks,11,8,26,26,,,,146.0,613,135,68,63,18,127,45,,4,3.88059,1.24196,7.87804,2.80851,2.80506,1.12424,0.207919,0.0741229,0.13379625231027603,,0.240453,0.280772,0.724678,4.03648,615.0000000000001,4.212328767123289,603.0,4.13013698630137,1.61218,2.46831,222.69000244140625,15,NL,Zac Gallen,668678,19291,19291
STL,Cardinals,8,8,24,25,,,,129.0,544,133,63,58,16,93,29,,2,4.05761,1.25554,6.47547,2.03262,3.18578,1.10955,0.170563,0.053539,0.11702437326312065,,0.259016,0.289346,0.706862,4.02764,504.99999999999994,3.914728682170542,530.0,4.108527131782946,1.60289,1.66043,715.3800048828125,28,NL,Michael McGreevy,700241,29869,29869
ARI,Diamondbacks,7,7,23,24,,,,131.0,556,133,69,63,18,120,33,,6,4.33888,1.25728,8.18347,2.239,3.65496,1.21665,0.21513,0.0588598,0.15627038851380348,,0.256715,0.302811,0.686559,3.96834,525.2,4.009160305343512,544.0,4.152671755725191,1.59817,1.38839,588.5999755859375,15,NL,Brandon Pfaadt,694297,27782,27782
CLE,Guardians,7,7,23,23,,,,124.0,529,106,57,52,16,134,53,,4,3.79472,1.28234,9.66612,3.83621,2.5197,1.1622,0.25226,0.100115,0.15214534103870392,,0.225485,0.280298,0.748071,4.04852,542.1999999999999,4.37258064516129,509.0,4.104838709677419,1.58819,1.88654,144.74000549316406,5,AL,Gavin Williams,668909,30122,30122
DET,Tigers,5,6,17,24,,,,103.0,441,94,54,50,15,117,39,,6,4.33156,1.28911,10.2034,3.40306,2.99831,1.33938,0.265729,0.0886261,0.17710252106189728,,0.237606,0.298715,0.708736,4.09959,432.30000000000007,4.197087378640777,419.0,4.067961165048544,1.55967,0.872628,999.0,6,AL,Drew Anderson,623454,15130,15130
SEA,Mariners,7,7,23,23,,,,131.0,552,124,63,58,19,120,39,,5,3.96422,1.24001,8.22627,2.66144,3.09091,1.27695,0.217143,0.070252,0.14689061790704727,,0.243826,0.284855,0.730996,4.16118,521.3000000000001,3.9793893129770996,516.0,3.9389312977099236,1.55486,1.32399,171.0500030517578,11,AL,Luis Castillo,622491,15689,15689
LAD,Dodgers,5,2,14,14,,,,70.0,286,51,28,26,8,84,26,,5,3.30434,1.09633,10.7227,3.29214,3.25707,1.02403,0.292452,0.0897901,0.2026624158024788,,0.200781,0.264329,0.744108,3.5376,362.0,5.171428571428572,321.0,4.585714285714285,1.5498,1.62879,1.2699999809265137,22,NL,Shohei Ohtani,660271,19755,19755
